iter	Passed	Remaining
0	1	999
1	1	918
2	2	899
3	3	878
4	4	864
5	5	844
6	5	838
7	6	850
8	7	848
9	8	843
10	9	840
11	10	833
12	10	828
13	11	824
14	12	820
15	13	815
16	14	814
17	14	810
18	15	809
19	16	810
20	17	808
21	18	808
22	19	808
23	19	808
24	20	805
25	21	803
26	22	801
27	23	800
28	23	800
29	24	799
30	25	795
31	26	794
32	27	793
33	27	790
34	28	790
35	29	790
36	30	787
37	31	787
38	31	787
39	32	787
40	33	785
41	34	784
42	35	783
43	35	782
44	36	781
45	37	781
46	38	780
47	39	779
48	40	778
49	40	777
50	41	776
51	42	775
52	43	774
53	44	773
54	44	771
55	45	770
56	46	769
57	47	768
58	48	767
59	48	765
60	49	765
61	50	764
62	51	763
63	52	762
64	53	763
65	53	763
66	54	762
67	55	762
68	56	761
69	57	760
70	57	758
71	58	758
72	59	757
73	60	756
74	61	755
75	62	754
76	62	753
77	63	752
78	64	751
79	65	750
80	66	749
81	66	749
82	67	748
83	68	748
84	69	748
85	70	746
86	71	746
87	71	744
88	72	743
89	73	742
90	74	741
91	75	740
92	75	739
93	76	738
94	77	737
95	78	736
96	79	735
97	79	734
98	80	734
99	81	733
100	82	732
101	83	731
102	83	730
103	84	729
104	85	728
105	86	727
106	87	726
107	87	725
108	88	724
109	89	724
110	90	722
111	91	721
112	91	720
113	92	719
114	93	718
115	94	716
116	94	715
117	95	714
118	96	713
119	97	712
120	97	711
121	98	710
122	99	710
123	100	709
124	101	708
125	102	707
126	102	707
127	103	707
128	104	706
129	105	705
130	106	704
131	106	703
132	107	702
133	108	701
134	109	700
135	110	699
136	110	698
137	111	697
138	112	696
139	113	695
140	113	694
141	114	693
142	115	692
143	116	691
144	117	690
145	117	689
146	118	688
147	119	687
148	120	686
149	120	685
150	121	684
151	122	683
152	123	682
153	124	681
154	124	680
155	125	679
156	126	678
157	127	677
158	127	676
159	128	676
160	129	675
161	130	674
162	131	673
163	131	672
164	132	671
165	133	670
166	134	670
167	135	669
168	135	668
169	136	667
170	137	666
171	138	665
172	138	664
173	139	663
174	140	662
175	141	661
176	142	660
177	142	659
178	143	658
179	144	658
