iter	RMSE
0	100.7788123
1	100.2765051
2	99.82699557
3	99.38063615
4	98.9553153
5	98.46158387
6	98.01216233
7	97.59209455
8	97.12003815
9	96.67197145
10	96.19194881
11	95.81906493
12	95.35965784
13	94.94179815
14	94.54188468
15	94.15391796
16	93.73818615
17	93.32279894
18	92.92769386
19	92.55012688
20	92.15415833
21	91.80308482
22	91.43689546
23	91.03466443
24	90.64520715
25	90.32446275
26	89.94387862
27	89.58690636
28	89.20393714
29	88.88411777
30	88.5485604
31	88.18563337
32	87.85317697
33	87.53056074
34	87.19930794
35	86.84825126
36	86.56996588
37	86.27187066
38	85.92486323
39	85.658192
40	85.36542421
41	85.05474661
42	84.79856897
43	84.47655498
44	84.19718389
45	83.92387355
46	83.61276181
47	83.38062868
48	83.10268244
49	82.85692136
50	82.57247665
51	82.34786119
52	82.09274801
53	81.86823752
54	81.62715178
55	81.35494488
56	81.10937118
57	80.89518325
58	80.62540568
59	80.39669262
60	80.14819778
61	79.89686823
62	79.67635399
63	79.44857662
64	79.21309814
65	79.02098914
66	78.8237178
67	78.61038238
68	78.38313324
69	78.1736398
70	77.93666049
71	77.70712453
72	77.51906412
73	77.30624954
74	77.1384668
75	76.95054297
76	76.74858563
77	76.54500518
78	76.34456971
79	76.18191828
80	75.98831012
81	75.81185067
82	75.66149887
83	75.44794274
84	75.24846498
85	75.07351838
86	74.93846459
87	74.78985321
88	74.60301809
89	74.42922522
90	74.25450019
91	74.10594773
92	73.92981136
93	73.76964756
94	73.61760651
95	73.44182167
96	73.29259986
97	73.11063484
98	72.95054839
99	72.78680632
100	72.67451078
101	72.53274733
102	72.40687322
103	72.27014479
104	72.1314863
105	72.02305839
106	71.90158036
107	71.77937643
108	71.66395677
109	71.5285894
110	71.38192015
111	71.24902953
112	71.13024253
113	70.9999219
114	70.8796215
115	70.7570034
116	70.66879256
117	70.55020977
118	70.43334306
119	70.32554333
120	70.21671114
121	70.11298446
122	70.0233728
123	69.8985785
124	69.82228832
125	69.70047009
126	69.60616403
127	69.49986558
128	69.39611756
129	69.27214554
130	69.15761437
131	69.05450208
132	68.94390942
133	68.86317024
134	68.76046248
135	68.65411298
136	68.57503521
137	68.48627499
138	68.37790105
139	68.27371931
140	68.18161619
141	68.11406498
142	68.04717491
143	67.96857533
144	67.8902178
145	67.80731316
146	67.71985085
147	67.64772687
148	67.56978329
149	67.50254442
150	67.42077474
151	67.35494772
152	67.25866565
153	67.18153483
154	67.12351664
155	67.03603119
156	66.97179855
157	66.88787645
