iter	Passed	Remaining
0	0	931
1	1	802
2	2	779
3	3	778
4	3	763
5	4	766
6	5	817
7	7	872
8	7	855
9	8	836
10	9	830
11	10	824
12	10	823
13	11	808
14	12	791
15	12	785
16	13	777
17	14	766
18	14	763
19	15	777
20	16	769
21	17	769
22	17	764
23	18	761
24	19	763
25	20	756
26	21	761
27	22	766
28	22	764
29	23	759
30	24	752
31	24	748
32	25	742
33	26	741
34	26	735
35	27	730
36	27	725
37	28	724
38	29	723
39	30	722
40	30	720
41	31	717
42	32	715
43	32	712
44	33	710
45	34	706
46	34	702
47	35	706
48	36	717
49	37	717
50	38	717
51	39	715
52	40	714
53	40	712
54	41	709
55	41	706
56	42	704
57	43	701
58	43	697
59	44	695
60	45	694
61	45	691
62	46	689
63	46	686
64	48	701
65	49	701
66	50	701
67	51	705
68	52	709
69	53	709
70	54	708
71	54	707
72	55	704
73	56	703
74	57	703
75	57	701
76	58	699
77	59	697
78	59	696
79	60	694
80	61	694
81	61	692
82	62	693
83	63	694
84	64	695
85	65	694
86	66	696
87	67	701
88	69	706
89	69	706
90	70	705
91	71	705
92	72	704
93	73	706
94	74	705
95	74	703
96	75	703
97	76	700
98	76	697
99	77	694
100	77	691
101	78	689
102	78	687
103	79	685
104	80	688
105	82	692
106	83	697
107	84	697
108	85	695
109	85	693
110	86	694
111	87	693
112	88	695
113	89	693
114	89	690
115	90	688
116	90	685
117	91	683
118	91	680
119	92	680
120	93	679
121	94	678
122	94	675
123	95	673
124	95	671
125	97	675
126	98	677
127	99	679
128	100	679
129	101	678
130	102	678
131	103	678
132	103	676
133	104	674
134	105	673
135	105	672
136	106	670
137	106	667
138	107	665
139	108	663
140	108	661
141	109	659
142	109	657
143	110	655
144	110	653
145	111	651
146	112	652
147	113	654
148	114	656
149	116	657
150	116	656
151	117	655
152	118	655
153	119	655
154	119	653
155	120	651
156	121	649
157	121	647
158	122	646
159	122	644
160	123	642
161	123	640
162	124	638
163	125	637
164	125	636
165	126	634
166	126	632
167	127	632
168	128	634
169	129	634
170	131	635
171	131	634
172	132	634
173	133	633
174	134	633
175	135	632
176	135	631
177	136	631
178	137	630
179	138	629
180	139	629
181	139	628
182	140	627
183	141	627
184	142	627
185	144	630
186	145	632
187	146	633
188	148	636
189	149	635
190	150	635
191	150	634
192	151	633
193	152	632
194	153	631
195	153	631
196	154	630
197	155	629
198	156	629
199	157	628
200	158	631
201	160	633
202	161	632
203	161	632
204	162	631
205	163	630
206	164	629
207	164	628
208	165	627
209	166	626
210	166	624
211	167	623
212	168	622
213	169	621
214	169	619
215	170	617
216	170	616
217	171	614
218	172	613
219	172	612
220	173	612
221	174	611
222	175	611
223	176	610
224	176	608
225	177	607
226	177	605
227	178	603
228	178	602
229	179	600
230	179	598
231	180	597
232	180	595
233	181	594
234	182	592
235	182	591
236	183	589
237	183	588
238	184	587
239	184	585
240	185	584
241	186	582
242	186	582
243	187	581
244	188	581
245	189	581
246	190	581
247	191	580
248	192	580
249	193	579
250	193	578
251	194	577
252	195	576
253	195	575
254	196	574
255	197	572
256	197	571
257	198	570
258	198	569
259	199	567
260	199	566
261	200	564
262	201	563
263	201	562
264	202	560
265	202	559
266	203	558
267	204	559
268	205	559
269	206	559
270	207	558
271	209	559
272	209	559
273	210	558
274	211	556
275	211	555
276	212	554
277	212	552
278	213	551
279	214	550
280	214	549
281	215	547
282	215	546
283	216	545
284	216	543
285	217	542
286	218	542
287	219	541
288	220	541
289	221	541
290	222	541
291	223	541
292	224	540
293	224	540
294	225	539
295	226	538
296	226	536
297	227	535
298	227	534
299	228	533
300	229	532
301	229	530
302	230	529
303	230	528
304	231	526
305	231	525
306	232	524
307	232	523
308	233	521
309	234	521
310	235	521
311	236	522
312	237	521
313	238	521
314	239	520
315	240	519
316	240	518
317	241	517
318	242	517
319	242	515
320	243	514
321	243	513
322	244	512
323	244	511
324	245	509
325	246	508
326	246	507
327	247	506
328	247	505
329	248	503
330	248	502
331	249	502
332	250	502
333	252	503
334	253	502
335	254	502
336	255	501
337	255	500
338	256	499
339	256	498
340	257	497
341	257	495
342	258	494
343	258	493
344	259	492
345	259	491
346	260	490
347	260	488
348	261	487
349	262	486
350	262	485
351	263	484
352	264	484
353	264	483
354	265	483
355	267	483
356	268	483
357	269	483
358	270	482
359	270	481
360	271	480
361	272	479
362	272	478
363	273	477
364	273	476
365	274	474
366	274	473
367	275	472
368	275	471
369	276	470
370	277	469
371	277	468
372	278	467
373	278	466
374	279	465
375	280	464
376	281	465
377	282	464
378	283	464
379	284	463
380	285	463
381	285	462
382	286	461
383	287	460
384	287	459
385	288	458
386	288	457
387	289	456
388	289	455
389	290	454
390	290	453
391	291	452
392	291	450
393	292	449
394	292	448
395	293	447
396	294	446
397	294	445
398	295	444
399	296	444
400	297	444
401	298	444
402	299	443
403	300	442
404	300	441
405	301	441
406	302	440
407	302	439
408	303	438
409	303	437
410	304	436
411	304	435
412	305	434
413	306	433
414	306	432
415	307	431
416	307	430
417	308	429
418	308	428
419	309	427
420	310	426
421	310	425
422	312	425
423	313	425
424	314	425
425	315	424
426	315	423
427	316	423
428	317	422
429	317	421
430	318	420
431	319	419
432	319	418
433	320	417
434	321	416
435	321	415
436	322	414
437	322	413
438	323	413
439	323	412
440	324	411
441	325	410
442	325	409
443	326	409
444	327	408
445	328	408
446	329	407
447	330	407
448	331	406
449	331	405
450	332	404
451	332	403
452	333	402
453	333	401
454	334	400
455	334	399
456	335	398
457	336	398
458	337	397
459	337	396
460	338	395
461	339	394
462	339	393
463	340	393
464	340	392
465	341	391
466	342	390
467	343	390
468	344	389
469	344	388
470	345	387
471	345	386
472	346	386
473	346	385
474	347	384
475	348	383
476	348	382
477	349	381
478	349	380
479	350	379
480	350	378
481	351	377
482	352	376
483	352	375
484	353	374
485	353	374
486	354	373
487	354	372
488	355	371
489	356	370
490	356	369
491	357	369
492	358	369
493	359	368
494	360	367
495	361	366
496	361	365
497	362	365
498	362	364
499	363	363
500	363	362
501	364	361
502	364	360
503	365	359
504	365	358
505	366	357
506	366	356
507	367	355
508	368	354
509	368	354
510	369	353
511	370	352
512	370	351
513	371	351
514	372	350
515	373	350
516	374	349
517	375	349
518	375	348
519	376	347
520	376	346
521	377	345
522	378	345
523	378	344
524	379	343
525	379	342
526	380	341
527	380	340
528	381	339
529	381	338
530	382	337
531	383	337
532	384	336
533	384	335
534	385	334
535	385	333
536	386	333
537	386	332
538	387	331
539	388	330
540	389	330
541	390	330
542	391	329
543	392	328
544	392	327
545	393	326
546	393	326
547	394	325
548	394	324
549	395	323
550	396	322
551	396	321
552	397	321
553	398	320
554	398	319
555	399	318
556	399	318
557	400	317
558	400	316
559	401	315
560	402	314
561	402	314
562	403	313
563	404	312
564	405	312
565	406	311
566	407	311
567	408	310
568	408	309
569	409	308
570	410	308
571	410	307
572	411	306
573	411	305
574	412	304
575	412	303
576	413	303
577	414	302
578	414	301
579	415	301
580	416	300
581	417	299
582	417	298
583	418	298
584	420	298
585	421	297
586	422	297
587	422	296
588	423	295
589	423	294
590	424	293
591	424	292
592	425	292
593	426	291
594	426	290
595	427	289
596	427	288
597	428	287
598	428	287
599	429	286
600	430	285
601	431	285
602	431	284
603	432	283
604	432	282
605	433	281
606	434	281
607	435	280
608	436	280
609	437	279
610	437	278
611	438	277
612	439	277
613	439	276
614	440	275
615	440	274
616	441	273
617	442	273
618	442	272
619	443	271
620	443	270
621	444	270
622	445	269
623	445	268
624	446	267
625	446	266
626	447	266
627	448	265
628	449	265
629	450	264
630	451	263
631	451	263
632	452	262
633	452	261
634	453	260
635	454	259
636	454	259
637	455	258
638	456	257
639	457	257
640	457	256
641	458	255
642	459	254
643	459	254
644	460	253
645	460	252
646	461	252
647	462	251
648	463	250
649	463	249
650	465	249
651	466	249
652	467	248
653	468	247
654	469	247
655	469	246
656	470	245
657	470	244
658	471	243
659	471	243
660	472	242
661	473	241
662	474	241
663	475	240
664	475	239
665	476	238
666	476	238
667	477	237
668	478	236
669	478	235
670	479	234
671	480	234
672	481	233
673	482	233
674	483	232
675	484	232
676	485	231
677	485	230
678	487	230
679	488	229
680	488	228
681	489	228
682	489	227
683	490	226
684	490	225
685	491	224
686	492	224
687	493	223
688	494	223
689	495	222
690	496	222
691	497	221
692	498	220
693	499	220
694	500	219
695	501	218
696	501	218
697	502	217
698	502	216
699	503	215
700	503	214
701	504	214
702	505	213
703	506	212
704	507	212
705	507	211
706	508	210
707	508	209
708	509	209
709	510	208
710	511	207
711	512	207
712	514	206
713	514	206
714	515	205
715	516	204
716	516	204
717	517	203
718	518	202
719	519	201
720	519	201
721	520	200
